vehicle_id,date,daily_miles,total_mileage,engine_temp,oil_level,error_code,hardware_failure
V002,2025-04-06,49.61,2943.56,82.58,3.39,NONE,0
V002,2025-04-07,75.25,3018.81,94.36,2.74,NONE,0
V002,2025-04-08,15.17,3033.99,79.88,2.93,P0455,0
V002,2025-04-09,40.1,3074.09,78.5,4.04,NONE,0
V002,2025-04-10,71.2,3145.29,85.65,3.44,NONE,0
V002,2025-04-11,81.17,3226.46,96.74,4.64,P0420,1
V002,2025-04-12,60.37,3286.83,87.31,2.68,P0171,1
V002,2025-04-13,75.95,3362.78,85.3,3.96,NONE,0
V002,2025-04-14,82.27,3445.05,88.31,3.47,NONE,0
V002,2025-04-15,67.7,3512.75,95.56,3.86,NONE,0
V002,2025-04-16,76.96,3589.71,87.94,4.9,P0420,0
V002,2025-04-17,70.27,3659.98,86.04,3.3,NONE,0
V002,2025-04-18,68.21,3728.19,89.25,2.8,P0300,0
V002,2025-04-19,99.04,3827.23,92.26,4.69,NONE,0
V002,2025-04-20,96.26,3923.49,88.15,3.21,NONE,0
V002,2025-04-21,91.03,4014.53,81.45,4.52,NONE,0
V002,2025-04-22,79.58,4094.11,85.59,3.43,P0420,0
V002,2025-04-23,66.62,4160.72,90.81,4.83,P0455,0
V002,2025-04-24,75.65,4236.37,90.49,4.38,P0300,0
V002,2025-04-25,71.84,4308.21,86.31,4.76,P0300,0
V002,2025-04-26,106.11,4414.32,85.11,3.3,NONE,0
V002,2025-04-27,75.22,4489.54,89.27,2.53,P0455,0
V002,2025-04-28,86.48,4576.02,84.35,4.88,P0455,0
V002,2025-04-29,118.25,4694.27,90.33,3.62,NONE,0
V003,2025-03-01,59.88,59.88,78.93,4.18,NONE,0
V003,2025-03-02,95.41,155.29,88.34,4.47,P0420,0
V003,2025-03-03,79.76,235.05,80.51,2.64,NONE,0
V003,2025-03-04,38.2,273.25,93.85,4.72,NONE,0
V003,2025-03-05,63.49,336.74,83.39,2.86,P0420,0
V003,2025-03-06,92.28,429.01,91.79,2.75,P0300,0
V003,2025-03-07,84.9,513.91,82.47,2.68,NONE,0
V003,2025-03-08,91.18,605.1,89.36,2.7,NONE,0
V003,2025-03-09,51.04,656.13,77.96,4.53,NONE,0
V003,2025-03-10,66.72,722.85,91.8,2.71,P0171,0
V003,2025-03-11,86.22,809.07,92.38,3.56,NONE,0
V003,2025-03-12,73.95,883.02,84.98,3.67,P0455,0
V003,2025-03-13,86.45,969.48,80.86,4.37,P0300,0
V003,2025-03-14,89.85,1059.33,85.44,3.44,P0455,1
V003,2025-03-15,93.8,1153.13,82.99,3.06,P0455,0
V003,2025-03-16,81.39,1234.53,89.92,4.98,P0171,0
V003,2025-03-17,81.95,1316.48,81.13,4.92,P0455,0
V003,2025-03-18,125.52,1441.99,87.03,4.24,NONE,0
V003,2025-03-19,123.06,1565.06,81.16,3.96,P0300,0
V003,2025-03-20,77.78,1642.84,89.88,4.05,P0171,0
V003,2025-03-21,63.21,1706.05,82.0,3.66,NONE,0
V003,2025-03-22,100.65,1806.7,75.95,2.69,P0420,0
V003,2025-03-23,86.84,1893.53,94.38,3.27,P0455,0
V003,2025-03-24,91.43,1984.96,89.85,2.91,P0300,0
V003,2025-03-25,53.6,2038.55,94.16,4.83,P0420,1
V003,2025-03-26,78.53,2117.08,83.59,4.53,P0455,0
V003,2025-03-27,45.74,2162.82,91.77,4.92,P0300,1
V003,2025-03-28,85.51,2248.33,86.39,3.67,NONE,0
V003,2025-03-29,48.11,2296.44,82.0,2.64,NONE,0
V003,2025-03-30,85.19,2381.63,86.51,5.0,NONE,0
V003,2025-03-31,80.1,2461.74,85.23,4.42,P0300,1
V003,2025-04-01,73.74,2535.48,77.0,2.82,NONE,0
V003,2025-04-02,82.41,2617.88,87.57,3.07,NONE,0
V003,2025-04-03,101.21,2719.09,92.71,3.4,P0420,1
V003,2025-04-04,86.65,2805.74,81.26,3.8,P0300,0
V003,2025-04-05,82.3,2888.03,92.76,4.63,P0171,0
V003,2025-04-06,121.21,3009.25,93.78,4.69,P0300,0
V003,2025-04-07,59.59,3068.84,83.65,2.57,P0455,0
V003,2025-04-08,92.91,3161.75,91.84,4.26,P0300,0
V003,2025-04-09,71.33,3233.08,83.29,2.54,NONE,0
V003,2025-04-10,101.17,3334.24,76.21,3.48,P0171,1
V003,2025-04-11,97.72,3431.97,84.31,3.37,NONE,0
V003,2025-04-12,110.05,3542.01,85.37,3.49,NONE,0
V003,2025-04-13,99.63,3641.64,86.65,4.87,P0171,0
V003,2025-04-14,45.93,3687.58,84.72,3.65,P0171,0
V003,2025-04-15,79.88,3767.45,87.02,3.32,NONE,0
V003,2025-04-16,53.91,3821.36,88.35,2.69,NONE,0
V003,2025-04-17,57.97,3879.34,87.44,3.36,NONE,0
V003,2025-04-18,78.75,3958.08,89.78,4.17,NONE,0
V003,2025-04-19,71.07,4029.15,82.62,2.6,NONE,0
V003,2025-04-20,69.39,4098.55,81.04,2.94,NONE,0
V003,2025-04-21,51.32,4149.86,84.04,3.41,NONE,0
V003,2025-04-22,119.29,4269.16,85.18,2.6,P0171,0
V003,2025-04-23,90.29,4359.45,91.02,2.7,NONE,0
V003,2025-04-24,77.75,4437.2,83.9,4.52,NONE,0
V003,2025-04-25,65.27,4502.48,87.9,3.02,NONE,0
V003,2025-04-26,74.5,4576.97,73.49,4.05,P0300,1
V003,2025-04-27,67.47,4644.44,74.04,4.37,P0455,0
V003,2025-04-28,91.53,4735.97,86.56,3.78,P0171,1
V003,2025-04-29,60.55,4796.53,85.4,3.62,P0171,0
V004,2025-03-01,47.87,47.87,86.02,3.17,NONE,0
V004,2025-03-02,76.26,124.13,84.76,3.31,P0171,0
V004,2025-03-03,67.07,191.2,79.59,2.8,NONE,0
V004,2025-03-04,84.36,275.57,89.55,4.2,P0455,1
V004,2025-03-05,79.84,355.41,92.4,2.72,NONE,0
V004,2025-03-06,127.49,482.89,90.07,4.36,P0455,0
V004,2025-03-07,59.26,542.15,84.05,3.21,NONE,0
V004,2025-03-08,107.91,650.06,78.45,3.93,NONE,0
V004,2025-03-09,52.03,702.09,87.81,2.75,NONE,0
V004,2025-03-10,70.84,772.93,81.87,2.9,P0300,1
V004,2025-03-11,68.15,841.08,80.68,2.93,P0171,0
V004,2025-03-12,29.94,871.03,88.42,4.96,NONE,0
V004,2025-03-13,75.22,946.25,80.46,4.92,P0171,0
V004,2025-03-14,84.75,1030.99,86.37,3.14,P0300,0
V004,2025-03-15,90.02,1121.01,80.11,4.82,P0171,0
V004,2025-03-16,120.87,1241.88,93.1,3.2,NONE,0
V004,2025-03-17,66.75,1308.63,87.85,3.31,NONE,0
V004,2025-03-18,85.6,1394.22,71.3,3.11,P0171,0
V004,2025-03-19,85.19,1479.42,80.48,3.22,NONE,0
V004,2025-03-20,57.22,1536.63,86.34,3.7,NONE,0
V004,2025-03-21,66.96,1603.6,85.24,3.34,NONE,0
V004,2025-03-22,67.96,1671.56,88.8,4.2,P0455,0
V004,2025-03-23,90.6,1762.15,92.21,3.68,P0171,1
V004,2025-03-24,44.6,1806.75,79.84,4.82,P0420,0
V004,2025-03-25,87.42,1894.17,81.98,4.85,NONE,0
V004,2025-03-26,89.76,1983.93,92.9,4.6,P0455,0
V004,2025-03-27,86.75,2070.68,82.94,3.0,NONE,0
V004,2025-03-28,73.63,2144.31,83.4,4.54,NONE,0
V004,2025-03-29,85.8,2230.11,95.38,3.4,P0420,1
V004,2025-03-30,74.6,2304.71,89.74,4.54,P0455,0
V004,2025-03-31,39.24,2343.94,79.96,3.66,NONE,0
V004,2025-04-01,101.03,2444.97,80.78,3.76,P0455,1
V004,2025-04-02,86.54,2531.51,83.9,3.46,P0455,1
V004,2025-04-03,97.85,2629.36,85.48,4.06,P0300,1
V004,2025-04-04,50.43,2679.79,90.72,2.85,NONE,0
V004,2025-04-05,90.19,2769.98,91.24,3.83,NONE,0
V004,2025-04-06,83.64,2853.61,86.24,2.88,NONE,0
V004,2025-04-07,58.17,2911.79,80.91,4.36,P0300,0
V004,2025-04-08,81.43,2993.22,82.61,4.41,P0455,0
V004,2025-04-09,73.05,3066.27,89.15,4.55,P0455,1
V004,2025-04-10,74.6,3140.87,80.11,4.49,NONE,0
V004,2025-04-11,71.45,3212.32,82.24,4.31,P0171,0
V004,2025-04-12,97.39,3309.71,91.78,4.23,P0455,0
V004,2025-04-13,47.36,3357.07,86.4,3.36,P0420,0
V004,2025-04-14,44.43,3401.5,92.48,3.66,NONE,0
V004,2025-04-15,83.61,3485.11,98.22,4.03,P0420,0
V004,2025-04-16,82.19,3567.29,88.63,4.24,P0171,1
V004,2025-04-17,84.34,3651.63,87.21,2.88,NONE,0
V004,2025-04-18,117.64,3769.27,91.73,3.56,P0420,0
V004,2025-04-19,83.68,3852.95,85.5,4.81,NONE,0
V004,2025-04-20,60.21,3913.16,84.37,4.96,NONE,0
V004,2025-04-21,130.77,4043.93,87.62,3.5,NONE,0
V004,2025-04-22,76.84,4120.77,82.87,4.51,P0171,0
V004,2025-04-23,97.04,4217.82,73.4,4.8,P0455,0
V004,2025-04-24,54.2,4272.02,78.52,4.34,NONE,0
V004,2025-04-25,49.94,4321.96,83.7,3.63,P0455,0
V004,2025-04-26,75.09,4397.05,83.64,3.75,P0420,1
V004,2025-04-27,96.09,4493.14,84.21,3.41,P0420,0
V004,2025-04-28,116.98,4610.11,90.63,2.53,P0300,0
V004,2025-04-29,59.66,4669.77,87.58,4.9,P0300,0
V005,2025-03-01,74.62,74.62,79.47,2.71,P0455,0
V005,2025-03-02,80.01,154.64,85.79,3.99,P0455,0
V005,2025-03-03,80.28,234.91,84.88,3.02,NONE,0
V005,2025-03-04,77.7,312.62,85.78,2.98,NONE,0
V005,2025-03-05,79.34,391.96,82.28,3.91,P0455,1
V005,2025-03-06,107.77,499.73,71.7,3.6,NONE,0
V005,2025-03-07,104.92,604.66,74.63,2.89,P0455,0
V005,2025-03-08,85.8,690.45,83.73,4.87,NONE,0
V005,2025-03-09,51.85,742.3,81.11,4.11,NONE,0
V005,2025-03-10,72.76,815.06,84.65,2.89,P0300,0
V005,2025-03-11,98.71,913.78,91.36,2.57,NONE,0
V005,2025-03-12,65.91,979.69,81.36,4.18,NONE,0
V005,2025-03-13,69.51,1049.2,87.45,4.13,P0455,1
V005,2025-03-14,72.99,1122.19,83.85,3.11,P0420,0
V005,2025-03-15,94.22,1216.4,87.22,4.58,NONE,0
V005,2025-03-16,112.93,1329.33,79.96,3.01,P0420,0
V005,2025-03-17,91.86,1421.19,83.45,2.53,NONE,0
V005,2025-03-18,46.6,1467.8,93.82,4.73,NONE,0
V005,2025-03-19,69.55,1537.34,90.25,3.15,P0420,0
V005,2025-03-20,106.32,1643.66,76.23,3.17,P0420,0
V005,2025-03-21,54.39,1698.05,93.77,3.88,NONE,0
V005,2025-03-22,44.93,1742.98,82.28,4.87,NONE,0
V005,2025-03-23,69.1,1812.08,87.0,4.67,NONE,0
V005,2025-03-24,99.44,1911.52,84.85,4.5,NONE,0
V005,2025-03-25,72.73,1984.25,84.72,3.17,P0171,0
V005,2025-03-26,123.1,2107.35,88.36,3.14,NONE,0
V005,2025-03-27,83.42,2190.77,84.08,4.96,NONE,0
V005,2025-03-28,54.23,2245.0,85.5,3.18,P0420,0
V005,2025-03-29,83.92,2328.92,80.11,3.19,NONE,0
V005,2025-03-30,120.11,2449.03,88.59,4.57,P0420,1
V005,2025-03-31,85.12,2534.15,89.91,4.0,P0171,0
V005,2025-04-01,59.92,2594.07,87.55,4.79,P0171,0
V005,2025-04-02,43.18,2637.26,78.6,3.8,NONE,0
V005,2025-04-03,73.04,2710.3,85.99,4.01,NONE,0
V005,2025-04-04,67.77,2778.07,77.97,3.22,NONE,0
V005,2025-04-05,106.83,2884.89,80.58,3.24,P0300,0
V005,2025-04-06,61.01,2945.9,98.16,4.16,NONE,0
V005,2025-04-07,81.91,3027.81,85.9,3.04,P0420,0
V005,2025-04-08,68.49,3096.3,85.61,3.74,P0300,0
V005,2025-04-09,46.21,3142.51,89.94,4.43,NONE,0
V005,2025-04-10,79.3,3221.81,93.85,4.22,P0420,0
V005,2025-04-11,48.84,3270.65,83.0,4.55,NONE,0
V005,2025-04-12,92.65,3363.3,89.86,3.18,NONE,0
V005,2025-04-13,44.74,3408.04,90.72,2.73,NONE,0
V005,2025-04-14,78.51,3486.55,88.1,2.96,P0420,0
V005,2025-04-15,101.29,3587.84,85.6,4.33,P0300,0
V005,2025-04-16,91.2,3679.04,90.4,4.23,P0420,0
V005,2025-04-17,70.93,3749.96,88.16,3.72,NONE,0
V005,2025-04-18,88.59,3838.56,86.04,2.95,P0171,0
V005,2025-04-19,96.37,3934.92,85.67,2.58,NONE,0
V005,2025-04-20,58.38,3993.3,90.27,4.81,P0300,0
V005,2025-04-21,102.58,4095.89,84.6,4.61,P0300,0
V005,2025-04-22,98.77,4194.65,82.42,2.59,NONE,0
V005,2025-04-23,51.9,4246.55,87.51,2.8,NONE,0
V005,2025-04-24,84.44,4330.99,82.61,3.35,P0300,0
V005,2025-04-25,74.78,4405.77,85.67,3.29,NONE,0
V005,2025-04-26,108.94,4514.71,85.98,3.3,P0300,0
V005,2025-04-27,97.36,4612.06,86.42,4.04,P0420,0
V005,2025-04-28,81.65,4693.71,90.33,4.85,P0171,0
V005,2025-04-29,104.46,4798.17,81.58,3.5,NONE,0
V006,2025-03-01,125.98,125.98,83.19,4.68,NONE,0
V006,2025-03-02,46.36,172.34,76.21,4.34,NONE,0
V006,2025-03-03,71.6,243.94,83.59,3.39,P0300,0
V006,2025-03-04,59.88,303.82,79.75,3.08,NONE,0
V006,2025-03-05,79.31,383.12,86.17,3.46,NONE,0
V006,2025-03-06,58.59,441.71,88.41,4.87,NONE,0
V006,2025-03-07,99.69,541.4,83.93,4.86,P0171,0
V006,2025-03-08,126.19,667.59,81.68,2.92,NONE,0
V006,2025-03-09,83.33,750.92,87.46,4.02,P0171,0
V006,2025-03-10,48.6,799.52,85.37,2.94,NONE,0
V006,2025-03-11,67.54,867.06,82.22,4.45,P0171,0
V006,2025-03-12,70.08,937.14,84.16,4.92,NONE,0
V006,2025-03-13,108.41,1045.55,82.15,4.24,NONE,0
V006,2025-03-14,86.87,1132.42,83.12,3.06,NONE,0
V006,2025-03-15,84.06,1216.48,77.42,3.98,P0300,0
V006,2025-03-16,63.2,1279.68,85.82,4.69,NONE,0
V006,2025-03-17,67.74,1347.42,83.06,4.72,P0300,0
V006,2025-03-18,90.87,1438.29,90.42,3.88,P0420,0
V006,2025-03-19,76.46,1514.75,81.01,3.43,NONE,0
V006,2025-03-20,97.68,1612.43,80.25,3.74,P0420,0
V006,2025-03-21,69.65,1682.08,86.12,4.63,P0455,0
V006,2025-03-22,10.38,1692.47,80.65,3.98,NONE,0
V006,2025-03-23,70.21,1762.68,90.22,4.2,P0455,0
V006,2025-03-24,47.21,1809.89,87.31,4.7,NONE,0
V006,2025-03-25,91.81,1901.7,90.54,4.63,NONE,0
V006,2025-03-26,88.11,1989.82,88.58,4.59,P0420,1
V006,2025-03-27,101.33,2091.15,90.85,4.05,P0420,1
V006,2025-03-28,67.02,2158.16,87.4,4.7,P0455,0
V006,2025-03-29,76.66,2234.82,85.73,3.34,NONE,0
V006,2025-03-30,66.21,2301.03,87.47,4.54,NONE,0
V006,2025-03-31,80.57,2381.61,91.39,2.52,P0420,0
V006,2025-04-01,96.36,2477.96,77.55,4.95,P0455,1
V006,2025-04-02,52.8,2530.76,88.73,4.09,P0455,1
V006,2025-04-03,109.9,2640.67,86.07,2.77,NONE,0
V006,2025-04-04,84.99,2725.65,92.89,4.91,NONE,0
V006,2025-04-05,104.18,2829.83,77.79,4.83,P0171,1
V006,2025-04-06,71.07,2900.91,85.97,3.25,NONE,0
V006,2025-04-07,72.74,2973.65,85.87,3.96,P0455,0
V006,2025-04-08,103.9,3077.55,77.38,2.61,NONE,0
V006,2025-04-09,87.34,3164.89,82.37,2.56,NONE,0
V006,2025-04-10,111.31,3276.2,84.67,4.21,NONE,0
V006,2025-04-11,45.98,3322.18,82.97,4.99,P0300,0
V006,2025-04-12,51.04,3373.22,74.01,2.91,NONE,0
V006,2025-04-13,92.97,3466.19,89.94,3.05,NONE,0
V006,2025-04-14,84.88,3551.07,82.18,4.14,P0420,0
V006,2025-04-15,75.55,3626.62,79.27,4.86,NONE,0
V006,2025-04-16,116.93,3743.55,79.65,3.49,NONE,0
V006,2025-04-17,97.96,3841.51,83.97,3.07,NONE,0
V006,2025-04-18,54.97,3896.48,92.22,4.66,NONE,0
V006,2025-04-19,90.11,3986.59,84.86,2.96,P0420,0
V006,2025-04-20,86.85,4073.44,87.28,4.43,NONE,0
V006,2025-04-21,89.2,4162.64,88.04,4.07,P0171,0
V006,2025-04-22,83.93,4246.57,88.55,4.49,NONE,0
V006,2025-04-23,59.39,4305.96,84.75,2.81,P0420,0
V006,2025-04-24,66.47,4372.43,94.0,3.0,P0300,0
V006,2025-04-25,65.18,4437.61,84.93,3.95,P0171,0
V006,2025-04-26,96.81,4534.43,81.74,3.28,P0300,0
V006,2025-04-27,74.46,4608.89,84.87,2.68,P0420,0
V006,2025-04-28,70.95,4679.84,72.88,4.0,NONE,0
V006,2025-04-29,100.47,4780.31,79.53,4.65,NONE,0
V007,2025-03-01,60.66,60.66,84.76,3.11,P0420,0
V007,2025-03-02,128.04,188.7,84.89,4.26,P0171,0
V007,2025-03-03,75.58,264.28,85.13,3.32,P0455,0
V007,2025-03-04,62.47,326.76,85.19,3.38,P0171,0
V007,2025-03-05,59.97,386.72,83.59,3.92,NONE,0
V007,2025-03-06,99.78,486.5,88.12,3.0,P0300,0
V007,2025-03-07,107.99,594.49,89.62,2.58,NONE,0
V007,2025-03-08,116.24,710.73,86.79,4.68,NONE,0
V007,2025-03-09,97.9,808.63,88.18,3.35,NONE,0
V007,2025-03-10,82.29,890.92,89.75,4.54,P0300,0
V007,2025-03-11,121.51,1012.43,81.55,3.82,P0420,0
V007,2025-03-12,72.61,1085.04,86.02,2.65,NONE,0
V007,2025-03-13,66.97,1152.01,82.58,4.68,P0455,0
V007,2025-03-14,59.37,1211.38,82.35,4.47,NONE,0
V007,2025-03-15,79.51,1290.89,95.71,3.89,NONE,0
V007,2025-03-16,61.34,1352.23,88.77,4.99,P0300,0
V007,2025-03-17,80.76,1432.99,85.6,3.0,P0300,0
V007,2025-03-18,69.95,1502.94,86.06,2.58,P0300,1
V007,2025-03-19,74.85,1577.79,76.66,4.67,P0300,0
V007,2025-03-20,98.66,1676.45,89.37,3.56,P0455,0
V007,2025-03-21,55.48,1731.94,77.68,4.97,NONE,0
V007,2025-03-22,48.76,1780.7,95.01,4.31,P0171,0
V007,2025-03-23,101.57,1882.27,84.81,4.75,NONE,0
V007,2025-03-24,47.34,1929.61,82.14,3.98,P0455,1
V007,2025-03-25,109.53,2039.14,91.9,4.33,NONE,0
V007,2025-03-26,88.03,2127.18,81.57,4.77,P0171,0
V007,2025-03-27,68.99,2196.17,81.64,4.93,P0300,1
V007,2025-03-28,86.48,2282.65,83.54,3.73,NONE,0
V007,2025-03-29,90.87,2373.52,83.15,3.61,NONE,0
V007,2025-03-30,35.31,2408.83,86.18,3.98,NONE,0
V007,2025-03-31,72.75,2481.58,79.4,4.92,NONE,0
V007,2025-04-01,96.15,2577.73,78.77,3.31,NONE,0
V007,2025-04-02,70.65,2648.37,86.73,4.92,NONE,0
V007,2025-04-03,48.88,2697.26,83.64,2.68,NONE,0
V007,2025-04-04,81.54,2778.79,78.59,3.34,P0171,0
V007,2025-04-05,74.81,2853.61,91.17,3.12,NONE,0
V007,2025-04-06,110.02,2963.62,89.25,2.92,NONE,0
V007,2025-04-07,96.94,3060.56,91.11,3.69,P0455,0
V007,2025-04-08,87.64,3148.2,87.15,3.96,P0455,0
V007,2025-04-09,73.93,3222.14,86.9,2.78,NONE,0
V007,2025-04-10,78.57,3300.7,84.81,3.83,NONE,0
V007,2025-04-11,77.38,3378.09,79.83,4.83,P0171,1
V007,2025-04-12,81.57,3459.66,75.01,2.6,P0171,0
V007,2025-04-13,82.79,3542.45,87.26,4.67,P0455,0
V007,2025-04-14,99.96,3642.41,70.52,3.72,NONE,0
V007,2025-04-15,62.58,3704.98,87.02,2.57,P0171,0
V007,2025-04-16,102.16,3807.15,79.8,3.0,NONE,0
V007,2025-04-17,85.53,3892.68,81.75,3.61,P0455,0
V007,2025-04-18,76.19,3968.86,86.09,4.23,P0455,0
V007,2025-04-19,79.38,4048.25,95.02,4.04,P0300,0
V007,2025-04-20,84.02,4132.27,90.25,2.58,P0171,0
V007,2025-04-21,83.95,4216.22,87.25,4.19,NONE,0
V007,2025-04-22,92.77,4308.99,79.28,3.48,P0300,0
V007,2025-04-23,64.57,4373.56,86.48,4.14,P0420,0
V007,2025-04-24,78.72,4452.28,86.64,4.68,P0455,0
V007,2025-04-25,86.81,4539.09,92.18,4.35,P0300,0
V007,2025-04-26,75.12,4614.21,89.82,3.32,NONE,0
V007,2025-04-27,100.94,4715.15,87.85,4.41,NONE,0
V007,2025-04-28,74.05,4789.19,91.88,4.54,P0420,0
V007,2025-04-29,82.41,4871.6,79.86,2.51,P0420,0
V008,2025-03-01,58.07,58.07,77.8,3.49,P0455,1
V008,2025-03-02,62.3,120.37,92.76,3.62,P0300,0
V008,2025-03-03,67.22,187.59,78.38,3.07,NONE,0
V008,2025-03-04,83.39,270.99,81.5,4.17,P0300,0
